@RELATION fixation_to_clicks_a

@ATTRIBUTE FPOGX REAL
@ATTRIBUTE FPOGY REAL 
@ATTRIBUTE FPOGS REAL
@ATTRIBUTE FPOGD REAL 
@ATTRIBUTE CS {0,1}

@DATA
0.46925,0.1125,1.42664,0.14032,0
0.46902,0.1136,1.42664,0.14722,0
0.46881,0.11461,1.42664,0.15411,0
0.46836,0.11456,1.42664,0.16064,0
0.4678,0.11448,1.42664,0.16748,0
0.46728,0.11441,1.42664,0.17429,0
0.46697,0.11576,1.42664,0.18112,0
0.46717,0.11759,1.42664,0.18796,0
0.46736,0.1193,1.42664,0.19446,0
0.46746,0.11991,1.42664,0.20126,0
0.46759,0.1197,1.42664,0.20795,0
0.46771,0.11951,1.42664,0.21478,0
0.46831,0.12058,1.42664,0.22144,0
0.46842,0.12189,1.42664,0.22836,0
0.46848,0.12363,1.42664,0.23636,0
0.46893,0.1255,1.42664,0.24167,0
0.47203,0.157,1.42664,0.24167,0
0.47438,0.18696,1.42664,0.24167,0
0.47906,0.18771,1.42664,0.24167,0
0.48135,0.18304,1.6749,0.0199,0
0.48301,0.17661,1.6749,0.02679,0
0.48199,0.17069,1.6749,0.03351,0
0.4798,0.1657,1.6749,0.04022,0
0.47816,0.16195,1.6749,0.04703,0
0.47846,0.15856,1.6749,0.05368,0
0.47885,0.15555,1.6749,0.06046,0
0.47917,0.15308,1.6749,0.06741,0
0.48096,0.15017,1.6749,0.0737,0
0.4818,0.14763,1.6749,0.08051,0
0.48252,0.14546,1.6749,0.08713,0
0.48214,0.14386,1.6749,0.09427,0
0.48261,0.14252,1.6749,0.10034,0
0.48303,0.14134,1.6749,0.10638,0
0.48297,0.14067,1.6749,0.11389,0
0.48289,0.13936,1.6749,0.12057,0
0.48282,0.13819,1.6749,0.12729,0
0.48354,0.13732,1.6749,0.134,0
0.4835,0.13684,1.6749,0.14114,0
0.48347,0.13641,1.6749,0.14743,0
0.4831,0.1366,1.6749,0.15417,0
0.48266,0.13671,1.6749,0.16092,0
0.48225,0.13681,1.6749,0.16754,1
0.48259,0.13739,1.6749,0.17416,0
0.48301,0.13826,1.6749,0.18079,0
0.48335,0.1397,1.6749,0.18756,0
0.48347,0.14179,1.6749,0.19424,0
0.48355,0.14453,1.6749,0.20105,0
0.48363,0.14711,1.6749,0.2077,0
0.48377,0.14859,1.6749,0.21439,0
0.48407,0.14989,1.6749,0.22107,0
0.48615,0.1778,1.6749,0.22107,0
0.49046,0.17204,1.6749,0.22107,0
0.48433,0.1665,1.6749,0.22107,0
0.48126,0.16372,1.90268,0.02005,0
0.47784,0.16388,1.90268,0.02673,0
0.48036,0.16337,1.90268,0.03336,0
0.48217,0.16301,1.90268,0.0401,0
0.48149,0.1623,1.90268,0.04688,0
0.48155,0.16054,1.90268,0.05344,0
0.4816,0.15912,1.90268,0.06,0
0.48189,0.1582,1.90268,0.06659,0
0.48225,0.15667,1.90268,0.07355,0
0.48255,0.15537,1.90268,0.08014,0
0.48307,0.15507,1.90268,0.08737,0
0.4835,0.1548,1.90268,0.09372,0
0.48388,0.15457,1.90268,0.10043,0
0.48464,0.15391,1.90268,0.10706,0
0.48492,0.15372,1.90268,0.11374,0
0.48518,0.15356,1.90268,0.1203,0
0.48557,0.15364,1.90268,0.12701,0
0.48576,0.15351,1.90268,0.13388,0
0.48593,0.1534,1.90268,0.1405,0
0.48544,0.15344,1.90268,0.14722,0
0.48508,0.15333,1.90268,0.1539,0
0.48475,0.15323,1.90268,0.16101,0
0.48435,0.1535,1.90268,0.16742,0
0.48476,0.15401,1.90268,0.17413,0
0.48513,0.15448,1.90268,0.18054,0
0.48525,0.15506,1.90268,0.18735,0
0.48545,0.15556,1.90268,0.19366,0
0.48563,0.15602,1.90268,0.20087,0
0.48552,0.15614,1.90268,0.20752,0
0.48545,0.15636,1.90268,0.21442,0
0.48539,0.15658,1.90268,0.22122,0
0.48523,0.15687,1.90268,0.22772,0
0.48444,0.15789,1.90268,0.23438,0
0.48369,0.15887,1.90268,0.24084,0
0.48339,0.1607,1.90268,0.2478,0
0.48338,0.16243,1.90268,0.25406,0
0.48337,0.16406,1.90268,0.26074,0
0.47681,0.19217,1.90268,0.26074,0
0.46968,0.21125,1.90268,0.26074,0
0.4673,0.21761,1.90268,0.26074,0
0.46882,0.22093,2.17029,0.01968,0
0.4706,0.22466,2.17029,0.0267,0
0.47178,0.22714,2.17029,0.03351,0
0.47129,0.23067,2.17029,0.03992,0
0.47176,0.23239,2.17029,0.04779,0
0.47213,0.23374,2.17029,0.05438,0
0.47135,0.2353,2.17029,0.06058,0
0.47167,0.23613,2.17029,0.06726,0
0.47194,0.23682,2.17029,0.07404,0
0.47148,0.23667,2.17029,0.08069,0
0.47167,0.2372,2.17029,0.08771,0
0.47184,0.23766,2.17029,0.09607,0
0.47296,0.23807,2.17029,0.10092,0
0.47247,0.23832,2.17029,0.10748,0
0.47204,0.23854,2.17029,0.11417,0
0.47244,0.2377,2.17029,0.12088,0
0.47297,0.23774,2.17029,0.1282,0
0.47344,0.23779,2.17029,0.13431,0
0.47416,0.23743,2.17029,0.14099,0
0.47483,0.237,2.17029,0.14767,1
0.47546,0.23661,2.17029,0.15421,0
0.47515,0.23631,2.17029,0.16077,0
0.47491,0.23615,2.17029,0.16742,0
0.47469,0.236,2.17029,0.17453,0
0.4748,0.23635,2.17029,0.18103,0
0.475,0.23704,2.17029,0.1879,0
0.47519,0.23768,2.17029,0.19458,0
0.47587,0.23689,2.17029,0.20108,0
0.47661,0.23613,2.17029,0.20795,0
0.47731,0.23542,2.17029,0.21466,0
0.47751,0.23502,2.17029,0.22137,0
0.47704,0.23539,2.17029,0.228,0
0.4766,0.23574,2.17029,0.23468,0
0.47662,0.2359,2.17029,0.24112,0
0.47689,0.23571,2.17029,0.24808,0
0.47715,0.23552,2.17029,0.25473,0
0.47749,0.23574,2.17029,0.2612,0
0.478,0.2358,2.17029,0.26804,0
0.47849,0.23586,2.17029,0.27466,0
0.47851,0.2361,2.17029,0.28128,0
0.47858,0.23648,2.17029,0.28802,0
0.47868,0.23642,2.17029,0.29459,0
0.47849,0.23588,2.17029,0.30124,0
0.47831,0.23503,2.17029,0.30804,0
0.47815,0.23422,2.17029,0.31454,0
0.47806,0.23466,2.17029,0.32138,0
0.47826,0.23477,2.17029,0.32828,0
0.47844,0.23528,2.17029,0.3349,0
0.47845,0.23563,2.17029,0.34113,0
0.47834,0.23586,2.17029,0.34833,0
0.47823,0.23608,2.17029,0.35513,0
0.47827,0.23614,2.17029,0.36145,0
0.47834,0.23596,2.17029,0.36792,0
0.47842,0.23578,2.17029,0.3746,0
0.47885,0.23537,2.17029,0.38217,0
0.47889,0.23522,2.17029,0.38855,0
0.47893,0.23508,2.17029,0.39471,0
0.47925,0.23499,2.17029,0.40173,0
0.47938,0.23478,2.17029,0.40854,0
0.47952,0.23456,2.17029,0.41534,0
0.4796,0.23436,2.17029,0.42261,0
0.48024,0.23429,2.17029,0.42935,0
0.48088,0.23422,2.17029,0.43683,0
0.4812,0.23461,2.17029,0.44241,0
0.48107,0.23453,2.17029,0.44891,0
0.48095,0.23445,2.17029,0.4559,0
0.47989,0.23485,2.17029,0.46255,0
0.47878,0.23534,2.17029,0.46921,0
0.47768,0.23582,2.17029,0.47586,0
0.4746,0.23629,2.17029,0.4827,0
0.44179,0.24187,2.17029,0.4827,0
0.34829,0.2323,2.17029,0.4827,0
0.31308,0.22693,2.17029,0.4827,0
0.25011,0.21333,2.17029,0.4827,0
0.25093,0.19719,2.17029,0.4827,0
0.24155,0.18756,2.17029,0.4827,0
0.23632,0.18501,2.67984,0.01993,0
0.23319,0.18348,2.67984,0.02676,0
0.23464,0.18275,2.67984,0.034,0
0.23488,0.17953,2.67984,0.04034,0
0.23536,0.1819,2.67984,0.04672,0
0.23476,0.18808,2.67984,0.05341,0
0.23612,0.19776,2.67984,0.06009,0
0.23738,0.2075,2.67984,0.06683,0
0.23651,0.21775,2.67984,0.07349,0
