@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

fixation_to_clicks,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.01491,0.077182,125.388827,100.634397,44.19817,49.747007,-5.548837,0.052306,0.058872,-0.006567,-362.306241,-0.428765,-819.731308,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.39881,0.992522,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.39881,0.987069,?,0.994083,0.004,0.001,0.015625,0,15.625,0,3001,647934,73164,99.526627,51.83432,?
fixation_to_clicks,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7606,846,841,5,0,99.408983,0.591017,0,0,0.013689,0.076413,115.179062,99.690193,44.206941,41.730685,2.476256,0.052254,0.049327,0.002927,-264.583327,-0.312746,-598.510829,1,841,1,5,0,0,0,0,0.99409,1,0.997036,?,0.8,0.998582,0.99409,0.99409,0.00591,0.00591,?,0.99409,?,?,0.8,0.993943,?,0.99409,0.005,0.001,0.015625,0,15.625,0,3001,647849,73249,99.527187,51.06383,?
fixation_to_clicks,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7606,846,841,5,0,99.408983,0.591017,0,0,0.014307,0.077519,120.383029,101.134104,44.206941,48.045531,-3.83859,0.052254,0.056791,-0.004537,-284.231364,-0.335971,-642.956423,1,841,1,5,0,0,0,0,0.99409,1,0.997036,?,0.495838,0.993196,0.99409,0.99409,0.00591,0.00591,?,0.99409,?,?,0.495838,0.987432,?,0.99409,0.005,0.001,0,0,0,0,3001,647849,73249,99.527187,51.77305,?
fixation_to_clicks,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.015326,0.078958,128.885469,102.950475,44.19817,53.100759,-8.902588,0.052306,0.062841,-0.010536,-347.624198,-0.41139,-786.512642,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.312976,0.992701,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.312976,0.986856,?,0.994083,0.005,0,0,0,0,0,3001,647934,73164,99.408284,52.544379,?
fixation_to_clicks,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.017257,0.080977,145.124934,105.582392,44.19817,51.839575,-7.641404,0.052306,0.061349,-0.009043,-356.224549,-0.421568,-805.971253,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.635952,0.997047,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.635952,0.991204,?,0.994083,0.004,0.001,0.015625,0,15.625,0,3001,647934,73164,99.408284,53.195266,?
fixation_to_clicks,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.016978,0.080641,142.77785,105.144293,44.19817,56.327343,-12.129173,0.052306,0.06666,-0.014354,-382.769398,-0.452982,-866.029959,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.434286,0.992736,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.434286,0.9869,?,0.994083,0.005,0.001,0,0,0,0,3001,647934,73164,99.408284,53.195266,?
fixation_to_clicks,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.012994,0.07646,109.275971,99.693363,44.19817,41.344327,2.853843,0.052306,0.048928,0.003377,-261.909687,-0.309952,-592.580381,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.737381,0.997527,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.737381,0.991788,?,0.994083,0.005,0.001,0,0,0,0,3001,647934,73164,99.408284,50.059172,?
fixation_to_clicks,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.014682,0.077905,123.474131,101.577169,44.19817,47.280134,-3.081963,0.052306,0.055953,-0.003647,-314.334565,-0.371994,-711.193612,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.546429,0.995367,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.546429,0.989546,?,0.994083,0.008,0.001,0.015625,0,15.625,0,3001,647934,73164,99.408284,51.952663,?
fixation_to_clicks,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.014585,0.077812,122.654379,101.456405,44.19817,50.005167,-5.806997,0.052306,0.059178,-0.006872,-332.97218,-0.39405,-753.361906,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.490714,0.993442,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.490714,0.987629,?,0.994083,0.004,0.001,0.015625,0,15.625,0,3001,647934,73164,99.408284,51.83432,?
fixation_to_clicks,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230909.2356,7607,845,840,5,0,99.408284,0.591716,0,0,0.013908,0.077652,116.960239,101.247826,44.19817,45.000031,-0.80186,0.052306,0.053254,-0.000949,-274.576218,-0.324942,-621.238878,1,840,1,5,0,0,0,0,0.994083,1,0.997033,?,0.711429,0.997756,0.994083,0.994083,0.005917,0.005917,?,0.994083,?,?,0.711429,0.991931,?,0.994083,0.004,0.001,0,0,0,0,3001,647934,73164,99.408284,51.656805,?
